,,,,,mobilitaet,mobilitaet,infrastruktur,mobilitaet,mobilitaet,mobilitaet,infrastruktur,stadtbild,mobilitaet,stadtbild,wirtschaft,infrastruktur,stadtbild,mobilitaet,mobilitaet,stadtbild,stadtbild,stadtbild,mobilitaet,stadtbild,gesellschaft,politik,gesellschaft,politik,infrastruktur,stadtbild,gesellschaft,gesellschaft,gesellschaft,gesellschaft,kultur,parks,gesellschaft,parks,wirtschaft,umwelt,gesellschaft,gesellschaft,gesellschaft,gesellschaft,politik,wirtschaft,politik,gesellschaft,kultur,gesellschaft,politik,politik,politik,kultur,kultur,politik,parks,raeume,raeume,raeume,raeume,stadtbild,mobilitaet,politik,bildung
77,Mehr Fahrradstraßen.,m,31-40,Innenstadt,,,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Bezahlbarer Wohnraum für Familien,w,31-40,Unterfürberg,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,X,,,,X,,,,,,,,,,,,,,
78,Bessere und günstiger Parkmöglichkeiten in der Stadt,w,31-40,Unterfürberg,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
78,Sicherer Schulweg für Kinder aus Unterfürberg (Ampel an der Bushaltestellen in Oberfürberg),w,31-40,Unterfürberg,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,X,X
78,Fußgängerweg und Beleuchtung am Kanal),w,31-40,Unterfürberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,
79,Keine weiteren großen Bauvorhaben (Wohnungsbau) in Fürth - die Stadt ist in den letzten Jahren viel zu schnell gewachsen,w,31-40,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Höhere Taktverdichtung bei den Bussen,w,31-40,Eigenes Heim,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"1. Mehr Fahrradwege, z.B. von Unterfürberg in die Innenstadt durchgängig auf Radwegen fahren können wäre super!",w,41-50,Unterfürberg,,,X,,,X,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2. In jedem Stadtteil einen leicht erreichbaren Unverpacktladen und Tagesmarkt mit regionalem Obst- und Gemüse.,w,41-50,Unterfürberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,
80,"3. Ausbau von Spiel- und Bolzplätzen, sowie Jugendzentren als Begegnungsstätten für Jugendliche (mindestens in jedem Stadtteil).",w,41-50,Unterfürberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,x,,x,,,,,x,,,
80,"4. Zone 30 im gesamten Stadtgebiet, Vorrang für Fahrradfahrer und Fußgänger.",w,41-50,Unterfürberg,,,,x,,x,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,
80,5. 365€-Ticket um Öffis attraktiver zu machen.,w,41-50,Unterfürberg,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
80,6. Ein Gymnasium im Fürther Westen.,w,41-50,Unterfürberg,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x
80,7. Südwesttangente einspurig für Autos und andere Spur für Fahrradfahrer - das wäre ein mutiger und begrüßenswerter Schritt :-).,w,41-50,Unterfürberg,,,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Mehr Fahrradwege. Ich möchte z.B. von unterfürberg in die Innenstadt durchgängig auf Radwegen fahren können.,m,41-50,Unterfürberg,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Einen Zebrastreifen beim Bahnhof Westvorstadt.,m,41-50,Unterfürberg,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,
81,"Einen Fahrstreifen der A73 in jede Richtung für Fahrräder sperren, um schneller nach Erlangen radeln zu können ;)",m,41-50,Unterfürberg,,,x,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Ausbau der Begegnungsstätten für Kinder und Jugendliche im gesamten Stadtgebiet (z.z. konzentriert sich alles auf die Innenstadt),m,41-50,Unterfürberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,x,,,,,,,x,,,,,,,,,,
81,Generell sollten alle Kinderbetreuungsangebote kostenfrei sein,m,41-50,Unterfürberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,,,
82,Baustellen (die wichtig sind) besser koordinieren.,m,31-40,Atzenhof,,,,,,,x,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Als Altenpfleger in einem ambulanten Pflegedienst wünsche ich mir das die Fürther Straßen freundlicher in Hinsicht krankenwägen und ambulanter Pflegedienste.Bitte keine Zonen 30,m,31-40,Atzenhof,,x,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Mehr Fahrradwege,m,31-40,Südstadt,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,mehr grün in der Süd- und Innenstadt,m,31-40,Südstadt,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,weniger Autoverkehr,m,31-40,Südstadt,,x,,,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,höhere Aufenthaltsqualität in der Innenstadt,m,31-40,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,x,x,x,,,,,
84,Auch die Innenstadt noch grüner gestalten (z.b. begrünte Dächer),w,41-50,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Förderung von erneuerbaren Energien für ein klimaneutrales Fürth,w,41-50,Innenstadt,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,x,,,,,,,,,,,,,,
85,"Autos noch weiter raus aus fürth, Tempo 30 im Stadtgebiet,",m,31-40,Innenstadt,,,,,x,,,,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Freiheit kein Parkplatz mehr.,m,31-40,Innenstadt,,,,,,,,,,,,,,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Fahrradwege weg. Mehr Autoparkplaetze.,m,51-60,Südstadt,,,,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Häuser mit EINZIMMERAPARTMENTS abreißen.,m,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Kostenlose Parkplätze an U-Bahn Stationen.,m,51-60,Südstadt,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Leerstehende Häuser endlich sanieren lassen.,w,31-40,Innenstadt,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Mehr Radwege, die auch für Kinder befahrbar sind.",w,31-40,Innenstadt,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
88,"Weniger Autos, an der Nürnbergerstr. die Parkplätze an der Seite für Fahrräder freigeben.",w,31-40,Innenstadt,,,,x,,x,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,An der wofsgrube eine neue Uferpromenade.,w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,
89,Reduktion der Gewaltbereitschaft und des Egoismus der Leute auf den Straßen,m,31-40,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"StVO-konforme einheitliche Beschilderung statt der aktuell immer wieder widersprüchlichen Beschilderung (Beispiel: Rad- und Fußweg bei Straßenüberquerung einer Ampel eingezeichnet, aber nur Fußgänger beim zugehörigen Lichtsignal)",m,31-40,Südstadt,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,
90,Schönere Läden in der Schwabacherstr.,w,31-40,Stadtgrenze,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
90,Bänke in der Fußgängerzone,w,31-40,Stadtgrenze,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
91,"Fahrradwege, Verkehrsführung, Ampelschaltung",m,41-50,Unterfarrnbach,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Verkehr im gesamten Innenstadtbereich auf 30km/h beschränken.,m,41-50,Innenstadt,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
92,Mehr Radwege schaffen.,m,41-50,Innenstadt,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Grünflächen vergrößern.,m,41-50,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,
93,Mehr ÖPNV und weniger Autos in der Stadt selber zugunsten auch von Rad- und Fußwegen,m,51-60,Stadeln,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
93,Clevere Bündelung von Lieferservices um die Einkäufe (und Pakete) auch ohne Auto bewerkstelligen zu können,m,51-60,Stadeln,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Attraktivere Läden in der Innenstadt ( nicht ""nur"" Döner, Falaffel und Telefon) mehr Boutiquen mit hochwertigem Angebot, Galerien und Spezialitätenläden um Fürth auch für zahlungskräftige Kundschaft attraktiv zu machen (sieh Regensburg)",m,51-60,Stadeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
93,"Mehr Freisitze in der Gustavstr. und Umgebung, klar mit Sperrstunde, aber erst um Mitternacht",m,51-60,Stadeln,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,
93,"Sukzessive Vorgabe von Farben für Hausanstriche um den grausamen ""Wildwuchs"" mit den entsprechenden Farbkompositionen in einigen Siedlungen zu beenden.",m,51-60,Stadeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Verlängerung der Freibadsaison analog Westbad in Nürnberg,m,51-60,Stadeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,x,,,,,
93,Rückbau der Fahrradspuren in der Schwabacher Straße.,m,51-60,Stadeln,,,,x,,x,,,,,,,,,,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Bau der Uferpromenade und des Hotels in der Mühle mit der geplanten Aufwertung des Helmplatzes,m,51-60,Stadeln,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,
94,"Autos müssen in der Stadt weniger werden. Es sollte attraktiver werden, von außen mit dem öffentlichen Nahverkehr nach Fürth zu kommen. Mehr carsharing und Förderung von elektromobilität, ggf. über Nachbarschaftsaktivitäten.",w,41-50,Innenstadt,x,,x,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Umdenken beim Thema Wirtschaften. Nachhaltigkeit ist nicht nur Umweltbewusstsein. Wozu brauchen wir ein Flair? Konsum hat sich längst ins Internet verlagert. Es braucht Konzepte, was man mit den Flächen zukünftig macht (Wohnungen, gemeinschaftlich genutzt Flächen…) und die Attraktivität zum Leben in der Stadt steigert.",w,41-50,Innenstadt,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Und es müssen Fragen beantwortet werden, Wie man zukünftig mit Paket- und sonstigen Zustellern umgehen möchte.",w,41-50,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,,,,,
95,Stadt muss grüner werden,m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Solarpflicht,m,31-40,Innenstadt,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,
95,Mehr und häufigere Bürgerbeteiligung,m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,bessere Radinfrastruktur an den Hauptverkehrsadern,m,31-40,Innenstadt,,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,
95,"14 Tage Kärwa!!! - alternative Mobilität mehr fördern, das Vehrschaos zu den Stoßzeiten ist ja kein Dauerzustand",m,31-40,Innenstadt,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Mehr Tempo bei der Verbesserung und Digitalisierung der Ämter und Verwaltung.,m,31-40,Innenstadt,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Bessere Radwegverbindungen und Radwege sollten klar ausgewiesen sein (z. B. an der Freiheit),",w,41-50,Innenstadt,,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
96,Parkplatzsituation für Anwohner um den grünen Markt ist katastrophal- es braucht mehr Parkhausplätze für Anwohner,w,41-50,Innenstadt,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Viel weniger Autos um das Lebensgefühl auf der Straße zu verbessern. Das Leben sollte mehr draußen stattfinden.,w,41-50,Oberfürberg,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Mehr soziales Miteinander über Stadtteilgruppen, die den sozialen Zusammenhalt in den Vierteln stärken.",w,41-50,Oberfürberg,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,
98,,m,51-60,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,
99,"Zunächst muss auch einmal gesagt werden, dass sich Fürth in den letzten Jahren sehr gemacht hat.",w,21-30,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"weniger Leerstand durch das Flair, mehr attraktive Einkaufsläden,",w,21-30,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,mehr begrünte Flächen oder gerne auch Bäume etc..,w,21-30,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,
99,"Um das Rathaus herum könnte man einige Straßen (Königstraße, zwischen LEZ und Obstmarkt) noch deutlich attraktiver machen, hier mehr attraktive Läden und Begegnungsstätten schaffen um die Königstraße an die Kern-Innenstadt und die Gustavstraße im Übergang besser anzubinden.",w,21-30,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,
99,"Hier meine Wünsche und Verbesserungsvorschläge für die Zukunft: Innenstadt Schwabacher Straße mehr beleben, Auch durchgängige Radwege im Bereich von Stadthalle, Rathaus bis Flair/Bahnhof wären gut.",w,21-30,Innenstadt,,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,
100,Sichere Radwege,w,41-50,Innenstadt,,,,x,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
100,Mehr Freizeitangebote für Jugendlichem,w,41-50,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
101,Nicht mehr Grünflächen zubauen.,w,31-40,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,x,,,,,,,,,,
102,Ein selbstverwaltetes Kulturzentrum für die Jugend der Stadt.,w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Altstadt komplett Autofrei,w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,
102,Anwohner*innenparkplätze als Park & Ride in Verbindung mit dem ÖPNV,w,31-40,Innenstadt,x,,,,,,,,x,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,deutliche Aufwertung der Fahrradwege auch für Lastenräder,w,31-40,Innenstadt,,,,x,,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"Erweiterung des VAG-Rad Bereichs in Fürth, damit ich endlich auch von Nürnberg nach Fürth und umgekehrt fahren kann",w,31-40,Innenstadt,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"Klimaneutrale, grüne Stadt",w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"ität in Stadtrat, Stadtverwaltung und den städtischen Eigenbetrieben",w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,
102,komplette Stadt barrierefrei!,w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,viele kleine dezentrale Coworking-Spaces (z.B. in leerstehenden Ladengeschäften oder Gaststätten),w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"Mehr Bäume und Bänke, weniger Parkplätze.",w,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,
103,"Mehr Radverkehr sicher gestalten, ÖPNV günstig bis kostenlos.",w,51-60,Südstadt,x,,x,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"Autos soweit es geht, aus der Innen-Stadt raus.",w,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,
103,Komposttoiletten als Standart.,w,51-60,Südstadt,,,x,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Klärung: wie heizen wir ohne fossile Brennstoffe?,w,51-60,Südstadt,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Mehr Kontrolleure im Ordnungsamt einstellen. Strafen für Müllsünder und Hundekacke deutlich erhöhen. Das dadurch generierte Geld für Personal verwenden. Der Zustand wird leider immer unerträglicher.,w,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Bei Versammlungen im Südstadtgärtla auf das Megaphon verzichten ( ist das wirklich notwendig? ). Hört man noch 100m weiter in der Wohnung bei geschlossenen Fenstern ? Wäre nett !,w,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,x,,,,,,,,,,,,,
105,"Weniger Platz für Autos, bessere Mobilität zu Fuß und per Fahrrad.",m,31-40,Innenstadt,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
106,,m,21-30,Oberfürberg,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
107,Verkehrskonzept,w,51-60,Innenstadt,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"Lärmkonzept,",w,51-60,Innenstadt,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,schlankere Verwaltung,w,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"billigeren Wohnraum,",w,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
108,"eine lebendigere und nicht nur auf Konsum orientierte Innenstadt,",,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
108,die auch grüner sein sollte,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,
109,ÖPNV ausbauen und Preise dafür runter.,m,51-60,Burgfarrnbach,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"Trotzdem mehr Kurzzeitparkplätze für KFZ bereitstellen - für einen kurzen Einkauf, oder die z.B Abholung aus einer Apotheke. Auch sinnvoll, wenn man mal jemanden zum Arzt bringen muss oder abholen möchte. So kann man, wenn man denn schon mit dem Auto unterwegs ist, das gleich verbinden.",m,51-60,Burgfarrnbach,,x,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
109,Radspuren finde ich (als Nichtradelnder) auch gut - aber mit Augenmass und nicht so aufgeblasen wie in der Danbacher Str. oder der Pillenreuther Str. in Nbg. Die Streifen Am Europakanal sind gut.,m,51-60,Burgfarrnbach,,,,x,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Mehr Digitalisierung in der Verwaltung (Bürgeranliegen) wär auch nicht schlecht.,m,51-60,Burgfarrnbach,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"Was ich super fände - Begrünung mit Sitzmöglichkeiten in der FuZo. So wies momentan ist, ist dort kein Aufenthaltswert gegeben.",m,51-60,Burgfarrnbach,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
110,Der Hochwasserschutz in einer zukünftigen Schwammstadt sollte ebenso berücksichtigt werden.,m,41-50,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
110,Mehr Bäume entlang der bestehenden Straßenlinien. Bewusste Gestaltung der Grünflächen mit dem Instrument einer Bundesgartenschau 2031.,m,41-50,Eigenes Heim,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Den Wiesengrund ab der Flutbrücke bis zum Solarberg zu einem Innenstadtpark mit weiteren Radfahrwegen sowie Teichanlagen umgestalten.,m,41-50,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,
111,"Verfügbarkeit dezentraler Services der Stadt Fürth (z.B. Bürgerämter, ...) in allen Stadtteilen.",m,61-70,Hardhöhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"Beenden der ""krankhaften"" Bevorzugung der Innenstadt durch unseren OB und den Stadtrat.",m,61-70,Hardhöhe,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
111,"Weg von der aktuellen Event- und Tourismus-Fixierung (z.B. Museen, ...) der Stadtführung",m,61-70,Hardhöhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
111,"Einrichten von ""Bürgerhäusern"" bzw. ""Stadtteilzentren"" für mehr Veranstaltungen ""vor Ort"".",m,61-70,Hardhöhe,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
112,Weniger Autos und Parkplätze,m,31-40,Eigenes Heim,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
112,mehr grün und Freiräume.,m,31-40,Eigenes Heim,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"Mehr Raum für kreative Ideen,",m,31-40,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,x,,x,,,,,
112,Experimente die einen inspirieren und beflügeln.,m,31-40,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,x,,,,,
